week,checkout_price,base_price,num_orders,emailer_for_promotion,homepage_featured,op_area,Beverages,Biryani,Desert,Extras,Fish,Other Snacks,Pasta,Pizza,Rice Bowl,Salad,Sandwich,Seafood,Soup,Starters,Continental,Indian,Italian,Thai,region1,region2,region3,region4,region5,region6,region7,region8,TYPE_A,TYPE_B,TYPE_C
11,930291.3800000186,1006911.9900000129,772225,255,406,4.085190359762384,46.0,6.0,12.0,3.0,4.0,17.0,7.0,9.0,13.0,13.0,11.0,7.0,7.0,19.0,32.0,41.0,38.0,63.0,4.0,36.0,0.0,79.0,0.0,39.0,13.0,3.0,101.0,37.0,36.0
12,938199.6600000146,982250.6000000137,690259,319,424,4.087107029318166,46.0,5.0,12.0,4.0,4.0,17.0,7.0,6.0,13.0,13.0,12.0,9.0,7.0,16.0,32.0,40.0,38.0,61.0,3.0,35.0,0.0,76.0,0.0,39.0,15.0,3.0,99.0,37.0,35.0
13,958654.2500000136,987646.4300000136,656102,228,360,4.087068357998496,49.0,7.0,13.0,6.0,3.0,15.0,8.0,5.0,13.0,12.0,11.0,9.0,7.0,18.0,32.0,43.0,37.0,64.0,3.0,36.0,0.0,79.0,0.0,40.0,15.0,3.0,102.0,36.0,38.0
14,948343.4000000071,987904.7500000092,636981,104,289,4.0928621908126255,47.0,8.0,15.0,6.0,2.0,12.0,7.0,7.0,12.0,13.0,11.0,9.0,7.0,16.0,31.0,45.0,37.0,59.0,3.0,36.0,0.0,77.0,0.0,37.0,16.0,3.0,99.0,38.0,35.0
15,946032.6200000104,1003210.7600000112,651719,226,300,4.079637377963639,45.0,7.0,15.0,7.0,4.0,11.0,8.0,6.0,14.0,14.0,10.0,11.0,7.0,17.0,33.0,44.0,39.0,60.0,3.0,40.0,0.0,78.0,0.0,38.0,15.0,2.0,102.0,39.0,35.0
16,943644.0300000116,995470.9600000107,611515,0,281,4.08719298245604,44.0,6.0,15.0,7.0,5.0,11.0,10.0,4.0,10.0,13.0,9.0,9.0,7.0,20.0,29.0,38.0,39.0,64.0,3.0,38.0,0.0,77.0,0.0,35.0,15.0,2.0,97.0,37.0,36.0
17,942337.1500000107,1012833.9900000126,820285,393,333,4.086807479224272,44.0,9.0,13.0,7.0,6.0,10.0,12.0,5.0,11.0,15.0,10.0,12.0,5.0,18.0,35.0,39.0,45.0,58.0,3.0,39.0,0.0,79.0,0.0,38.0,15.0,3.0,103.0,39.0,35.0
18,948992.2900000118,1037374.5200000122,932560,537,428,4.078392977717653,45.0,10.0,14.0,7.0,5.0,7.0,10.0,4.0,12.0,14.0,11.0,13.0,6.0,18.0,34.0,43.0,44.0,55.0,3.0,39.0,0.0,78.0,0.0,38.0,16.0,2.0,103.0,39.0,34.0
19,978698.300000008,1028860.1700000113,787196,76,325,4.075025518883867,50.0,8.0,13.0,7.0,5.0,9.0,10.0,4.0,11.0,15.0,12.0,13.0,6.0,16.0,34.0,42.0,46.0,57.0,3.0,43.0,0.0,77.0,0.0,38.0,15.0,3.0,104.0,39.0,36.0
20,949013.0400000132,1018155.2200000124,677834,226,238,4.080984952120275,46.0,7.0,13.0,7.0,6.0,10.0,10.0,5.0,13.0,16.0,11.0,12.0,6.0,16.0,32.0,42.0,47.0,57.0,3.0,41.0,0.0,78.0,0.0,37.0,16.0,3.0,103.0,40.0,35.0
21,970826.0000000135,1030665.1200000122,707013,212,260,4.0802227472155534,44.0,8.0,13.0,6.0,5.0,12.0,10.0,7.0,13.0,16.0,12.0,12.0,5.0,15.0,33.0,42.0,47.0,56.0,3.0,42.0,0.0,78.0,0.0,38.0,14.0,3.0,105.0,39.0,34.0
22,985284.2700000051,1023876.3300000085,834111,186,314,4.080773178241427,52.0,4.0,14.0,6.0,5.0,10.0,11.0,7.0,13.0,15.0,14.0,12.0,5.0,14.0,35.0,41.0,50.0,56.0,3.0,38.0,0.0,82.0,0.0,40.0,16.0,3.0,107.0,41.0,34.0
23,994359.5900000008,1037382.8200000058,773271,241,339,4.085979729729626,50.0,4.0,12.0,6.0,5.0,10.0,11.0,7.0,15.0,15.0,15.0,12.0,5.0,14.0,32.0,46.0,51.0,52.0,3.0,39.0,0.0,79.0,0.0,41.0,16.0,3.0,106.0,40.0,35.0
24,985073.880000003,1031082.6100000058,647341,113,271,4.090156143923859,50.0,4.0,13.0,6.0,5.0,10.0,11.0,7.0,11.0,13.0,12.0,11.0,5.0,15.0,31.0,43.0,46.0,53.0,3.0,39.0,0.0,75.0,0.0,38.0,15.0,3.0,104.0,38.0,31.0
25,963286.150000011,1035962.8200000073,749583,167,338,4.084320323014703,50.0,4.0,12.0,6.0,6.0,12.0,9.0,7.0,13.0,15.0,17.0,8.0,5.0,14.0,31.0,45.0,49.0,53.0,3.0,39.0,0.0,78.0,0.0,40.0,15.0,3.0,103.0,41.0,34.0
26,948994.3900000153,1050483.1400000085,805805,340,413,4.088055739880452,51.0,4.0,13.0,6.0,6.0,13.0,12.0,6.0,13.0,13.0,15.0,8.0,5.0,13.0,30.0,46.0,49.0,53.0,3.0,39.0,0.0,80.0,0.0,38.0,15.0,3.0,107.0,38.0,33.0
27,948660.6400000125,1053978.9500000072,740014,247,341,4.08134697920095,54.0,3.0,14.0,7.0,8.0,11.0,12.0,6.0,12.0,13.0,14.0,10.0,5.0,13.0,33.0,47.0,48.0,54.0,3.0,41.0,0.0,79.0,0.0,41.0,15.0,3.0,107.0,39.0,36.0
28,1011116.0000000146,1067462.8100000094,648863,214,266,4.07920499342959,55.0,3.0,16.0,7.0,8.0,11.0,11.0,5.0,14.0,13.0,17.0,9.0,5.0,15.0,34.0,48.0,49.0,58.0,3.0,42.0,0.0,85.0,0.0,42.0,14.0,3.0,109.0,42.0,38.0
29,1006382.3900000124,1057119.8500000103,625414,162,266,4.08387309980161,54.0,3.0,14.0,7.0,7.0,14.0,12.0,5.0,12.0,13.0,20.0,9.0,3.0,11.0,33.0,43.0,54.0,54.0,3.0,42.0,0.0,80.0,0.0,40.0,16.0,3.0,104.0,40.0,40.0
30,1007449.3800000094,1067133.0400000105,915399,110,298,4.082235984354518,65.0,4.0,17.0,10.0,5.0,12.0,13.0,7.0,15.0,18.0,19.0,13.0,5.0,14.0,38.0,54.0,59.0,66.0,3.0,51.0,1.0,98.0,2.0,45.0,14.0,3.0,122.0,46.0,49.0
31,1019994.0200000089,1078058.5000000098,783214,72,254,4.075243348474904,66.0,3.0,15.0,10.0,9.0,12.0,13.0,7.0,16.0,19.0,20.0,15.0,5.0,14.0,45.0,51.0,61.0,67.0,3.0,53.0,2.0,98.0,2.0,48.0,15.0,3.0,126.0,49.0,49.0
32,1012802.9700000088,1070985.7700000098,1034202,497,336,4.075073409461553,62.0,5.0,16.0,10.0,9.0,13.0,12.0,7.0,14.0,19.0,20.0,13.0,6.0,13.0,42.0,50.0,60.0,67.0,3.0,53.0,2.0,97.0,2.0,45.0,14.0,3.0,129.0,46.0,44.0
33,981842.7100000068,1069394.1300000057,730936,479,342,4.076945812807772,61.0,6.0,16.0,9.0,8.0,13.0,11.0,8.0,15.0,19.0,21.0,12.0,5.0,14.0,42.0,51.0,61.0,64.0,3.0,50.0,2.0,99.0,0.0,46.0,15.0,3.0,128.0,43.0,47.0
34,976465.6300000066,1056395.6700000048,693603,70,349,4.077652519893788,61.0,5.0,15.0,9.0,6.0,15.0,12.0,8.0,15.0,18.0,22.0,11.0,5.0,15.0,39.0,51.0,62.0,65.0,3.0,47.0,2.0,102.0,0.0,45.0,15.0,3.0,123.0,47.0,47.0
35,1002868.8800000024,1051662.9100000055,630458,66,182,4.071271637816136,57.0,6.0,14.0,8.0,11.0,14.0,11.0,10.0,15.0,17.0,21.0,12.0,6.0,16.0,46.0,52.0,57.0,63.0,3.0,52.0,2.0,100.0,0.0,44.0,14.0,3.0,126.0,48.0,44.0
36,1028077.1100000032,1061919.7900000063,724865,158,179,4.066611624834763,63.0,7.0,14.0,7.0,9.0,14.0,12.0,11.0,17.0,18.0,22.0,11.0,6.0,13.0,44.0,57.0,61.0,62.0,3.0,52.0,1.0,104.0,0.0,46.0,15.0,3.0,128.0,49.0,47.0
37,956609.16,1049821.9900000042,877853,303,391,4.0748081414746995,55.0,6.0,13.0,7.0,8.0,16.0,12.0,11.0,19.0,19.0,22.0,7.0,6.0,14.0,34.0,54.0,62.0,65.0,3.0,50.0,1.0,98.0,0.0,45.0,15.0,3.0,124.0,46.0,45.0
38,954022.1300000002,1045810.5100000037,974566,308,349,4.076092030676783,55.0,6.0,12.0,8.0,9.0,15.0,12.0,10.0,19.0,19.0,22.0,8.0,5.0,14.0,35.0,54.0,63.0,62.0,3.0,52.0,1.0,96.0,0.0,46.0,13.0,3.0,123.0,45.0,46.0
39,968998.0900000043,1052293.4700000056,770964,67,316,4.067678100263743,53.0,8.0,14.0,8.0,10.0,14.0,11.0,9.0,18.0,19.0,21.0,6.0,5.0,14.0,33.0,54.0,62.0,61.0,2.0,49.0,1.0,94.0,1.0,46.0,14.0,3.0,124.0,45.0,41.0
40,958669.1500000047,1072314.3100000047,807159,223,359,4.076188925081321,60.0,10.0,14.0,8.0,10.0,15.0,13.0,12.0,17.0,20.0,22.0,5.0,6.0,14.0,39.0,60.0,65.0,62.0,3.0,55.0,1.0,102.0,1.0,47.0,14.0,3.0,132.0,46.0,48.0
41,1017131.0900000108,1081014.9700000046,791493,247,351,4.079259259259146,60.0,7.0,15.0,6.0,9.0,14.0,12.0,14.0,19.0,18.0,21.0,6.0,5.0,14.0,40.0,59.0,63.0,58.0,3.0,52.0,1.0,98.0,2.0,46.0,15.0,3.0,128.0,47.0,45.0
42,1036497.7100000086,1072651.2900000054,766289,154,258,4.086291626252716,58.0,7.0,15.0,6.0,11.0,13.0,13.0,18.0,20.0,20.0,18.0,7.0,6.0,13.0,48.0,55.0,64.0,58.0,3.0,52.0,3.0,98.0,4.0,47.0,15.0,3.0,129.0,49.0,47.0
43,1053538.6000000099,1079119.9900000084,693271,187,207,4.081829896907104,57.0,6.0,16.0,6.0,15.0,14.0,13.0,18.0,18.0,21.0,21.0,6.0,6.0,12.0,49.0,54.0,68.0,58.0,3.0,55.0,3.0,99.0,4.0,48.0,14.0,3.0,135.0,48.0,46.0
44,1052187.900000006,1086038.320000007,738583,230,230,4.0725288831834545,58.0,8.0,14.0,6.0,13.0,13.0,13.0,18.0,16.0,21.0,21.0,6.0,6.0,14.0,48.0,52.0,68.0,59.0,3.0,54.0,3.0,100.0,4.0,47.0,13.0,3.0,133.0,49.0,45.0
45,994974.1100000124,1078741.2600000103,981199,332,379,4.078820116054044,60.0,7.0,13.0,5.0,13.0,14.0,13.0,18.0,18.0,22.0,22.0,4.0,5.0,11.0,44.0,57.0,70.0,54.0,3.0,53.0,3.0,99.0,4.0,46.0,14.0,3.0,133.0,48.0,44.0
46,972127.2700000094,1063050.5700000096,862620,428,399,4.084208809135287,59.0,9.0,14.0,5.0,13.0,15.0,13.0,18.0,17.0,21.0,22.0,3.0,5.0,10.0,44.0,58.0,69.0,53.0,3.0,53.0,3.0,99.0,4.0,44.0,15.0,3.0,131.0,49.0,44.0
47,965264.2800000102,1052894.7000000111,808269,286,395,4.088805237315763,62.0,11.0,12.0,5.0,12.0,13.0,14.0,17.0,18.0,20.0,21.0,4.0,4.0,11.0,44.0,62.0,65.0,53.0,3.0,51.0,3.0,98.0,4.0,47.0,15.0,3.0,126.0,52.0,46.0
48,1027473.6500000136,1089462.4100000116,1303457,401,320,4.077827476038226,66.0,9.0,12.0,5.0,14.0,11.0,12.0,18.0,17.0,20.0,26.0,4.0,5.0,10.0,49.0,59.0,70.0,51.0,3.0,54.0,3.0,100.0,4.0,47.0,15.0,3.0,133.0,49.0,47.0
49,1036613.4400000153,1086846.8500000117,936980,381,333,4.066730584851275,66.0,13.0,12.0,6.0,15.0,11.0,11.0,18.0,17.0,18.0,23.0,5.0,4.0,10.0,49.0,66.0,65.0,49.0,3.0,55.0,3.0,101.0,4.0,46.0,14.0,3.0,135.0,48.0,46.0
50,1036294.7300000134,1080113.8700000108,890778,0,328,4.079820340070467,64.0,12.0,12.0,6.0,13.0,10.0,12.0,16.0,17.0,18.0,24.0,6.0,4.0,12.0,45.0,66.0,64.0,51.0,3.0,54.0,3.0,98.0,4.0,46.0,15.0,3.0,129.0,51.0,46.0
51,1024297.3200000133,1072282.9200000109,723036,299,330,4.09283639883822,62.0,8.0,12.0,7.0,15.0,11.0,10.0,16.0,15.0,18.0,23.0,7.0,4.0,12.0,48.0,58.0,63.0,51.0,3.0,51.0,3.0,99.0,4.0,43.0,14.0,3.0,126.0,49.0,45.0
52,1008140.2200000167,1115311.9300000137,1046811,796,551,4.070591919824499,65.0,10.0,11.0,7.0,14.0,11.0,10.0,17.0,16.0,19.0,24.0,7.0,4.0,14.0,50.0,64.0,63.0,52.0,3.0,53.0,3.0,101.0,4.0,47.0,15.0,3.0,132.0,50.0,47.0
53,1007339.320000015,1117580.3100000138,1108236,389,492,4.0700250312889965,70.0,10.0,9.0,7.0,12.0,13.0,10.0,18.0,16.0,19.0,22.0,9.0,4.0,15.0,53.0,60.0,64.0,57.0,3.0,54.0,3.0,105.0,4.0,47.0,15.0,3.0,136.0,51.0,47.0
54,1035674.5400000123,1087475.7500000126,757268,0,358,4.081297953964079,70.0,11.0,12.0,8.0,12.0,10.0,10.0,17.0,14.0,18.0,24.0,9.0,4.0,13.0,51.0,64.0,65.0,52.0,3.0,56.0,3.0,102.0,4.0,47.0,14.0,3.0,136.0,50.0,46.0
55,1017677.5000000165,1103004.8700000152,875145,430,407,4.071972318338987,67.0,10.0,12.0,8.0,12.0,11.0,11.0,20.0,16.0,17.0,24.0,7.0,4.0,14.0,51.0,64.0,65.0,53.0,3.0,52.0,3.0,106.0,4.0,47.0,15.0,3.0,135.0,51.0,47.0
56,1027458.3400000138,1071850.6400000127,843250,212,388,4.088035019455141,62.0,9.0,13.0,8.0,13.0,12.0,10.0,19.0,15.0,16.0,24.0,7.0,4.0,13.0,48.0,59.0,68.0,50.0,3.0,52.0,3.0,101.0,4.0,44.0,15.0,3.0,130.0,49.0,46.0
57,1046417.4300000159,1095369.1000000131,916721,193,366,4.075860969387643,65.0,8.0,14.0,9.0,12.0,11.0,9.0,19.0,16.0,17.0,22.0,5.0,5.0,14.0,45.0,57.0,68.0,56.0,3.0,54.0,3.0,100.0,5.0,43.0,15.0,3.0,133.0,48.0,45.0
58,1038271.8500000157,1093350.2000000128,834445,77,259,4.078466453674009,62.0,7.0,13.0,8.0,14.0,11.0,10.0,18.0,17.0,19.0,22.0,9.0,4.0,15.0,50.0,54.0,71.0,54.0,3.0,53.0,3.0,102.0,5.0,45.0,15.0,3.0,133.0,51.0,45.0
59,1076865.4900000172,1108423.5500000147,776781,77,202,4.080432707604087,62.0,7.0,15.0,9.0,13.0,12.0,9.0,21.0,14.0,18.0,21.0,7.0,4.0,17.0,52.0,53.0,68.0,56.0,3.0,55.0,3.0,101.0,5.0,46.0,13.0,3.0,134.0,49.0,46.0
60,1069368.460000018,1131162.4000000127,1131459,384,308,4.075547902316727,61.0,7.0,14.0,10.0,12.0,11.0,11.0,21.0,16.0,18.0,19.0,8.0,4.0,17.0,50.0,54.0,68.0,57.0,3.0,52.0,3.0,102.0,5.0,46.0,15.0,3.0,134.0,48.0,47.0
61,1047043.3700000108,1128732.4900000112,860105,305,318,4.074717691342419,64.0,9.0,15.0,10.0,12.0,12.0,9.0,21.0,15.0,17.0,20.0,11.0,5.0,16.0,54.0,58.0,66.0,58.0,3.0,58.0,3.0,103.0,5.0,48.0,13.0,3.0,139.0,49.0,48.0
62,921837.0400000104,1000034.8400000137,380065,175,295,4.10619377162619,58.0,7.0,14.0,10.0,11.0,7.0,8.0,20.0,12.0,16.0,18.0,10.0,5.0,17.0,49.0,53.0,60.0,51.0,2.0,48.0,3.0,95.0,5.0,43.0,14.0,3.0,121.0,45.0,47.0
63,1024468.870000009,1113015.960000013,812075,459,370,4.079797018712223,66.0,8.0,15.0,11.0,12.0,7.0,11.0,20.0,13.0,16.0,19.0,9.0,5.0,18.0,51.0,55.0,67.0,57.0,3.0,60.0,3.0,95.0,5.0,47.0,14.0,3.0,131.0,48.0,51.0
64,1048978.060000014,1137516.050000017,784508,452,368,4.082624999999883,62.0,10.0,16.0,11.0,12.0,8.0,10.0,21.0,15.0,15.0,20.0,10.0,5.0,17.0,55.0,59.0,63.0,55.0,3.0,57.0,3.0,97.0,5.0,49.0,15.0,3.0,131.0,49.0,52.0
65,1085066.9800000212,1150455.3700000138,844869,295,422,4.08454855724468,64.0,12.0,16.0,10.0,10.0,7.0,10.0,21.0,17.0,18.0,17.0,13.0,5.0,19.0,54.0,61.0,67.0,57.0,3.0,63.0,3.0,101.0,5.0,46.0,15.0,3.0,134.0,51.0,54.0
66,1099991.5200000156,1131033.0800000157,710083,40,229,4.084374019453915,65.0,11.0,15.0,10.0,10.0,7.0,10.0,21.0,17.0,17.0,17.0,12.0,5.0,18.0,54.0,60.0,65.0,56.0,3.0,61.0,3.0,99.0,5.0,46.0,15.0,3.0,134.0,49.0,52.0
67,1105542.3400000157,1138372.2600000142,756281,0,230,4.0855538221527645,69.0,11.0,13.0,9.0,10.0,8.0,13.0,21.0,14.0,16.0,16.0,11.0,5.0,19.0,53.0,56.0,67.0,59.0,3.0,61.0,3.0,100.0,5.0,45.0,15.0,3.0,134.0,51.0,50.0
68,1096210.2200000167,1144314.1000000148,1009974,301,317,4.090866728797644,69.0,9.0,16.0,9.0,10.0,10.0,12.0,23.0,13.0,16.0,18.0,8.0,4.0,19.0,51.0,54.0,70.0,61.0,3.0,61.0,3.0,100.0,5.0,47.0,14.0,3.0,137.0,47.0,52.0
69,1083141.4900000184,1157873.6800000148,1075188,395,483,4.085687847007896,68.0,9.0,11.0,8.0,8.0,11.0,14.0,23.0,12.0,17.0,17.0,11.0,4.0,20.0,52.0,48.0,72.0,61.0,3.0,60.0,3.0,98.0,5.0,46.0,15.0,3.0,136.0,49.0,48.0
70,1085034.330000017,1162291.030000013,1004649,409,485,4.081104294478401,69.0,9.0,10.0,8.0,8.0,12.0,16.0,23.0,14.0,18.0,18.0,11.0,4.0,19.0,54.0,49.0,75.0,61.0,3.0,59.0,3.0,102.0,5.0,49.0,15.0,3.0,136.0,52.0,51.0
71,1102792.710000017,1150431.7300000149,1015726,224,348,4.088217149907341,68.0,8.0,12.0,8.0,9.0,13.0,17.0,21.0,13.0,16.0,17.0,11.0,4.0,18.0,51.0,49.0,74.0,61.0,3.0,60.0,3.0,100.0,5.0,46.0,15.0,3.0,135.0,49.0,51.0
72,1103804.0500000152,1144900.5300000152,732551,228,250,4.09074821483999,66.0,8.0,10.0,9.0,7.0,12.0,17.0,17.0,10.0,16.0,19.0,16.0,4.0,20.0,52.0,43.0,73.0,63.0,3.0,57.0,3.0,97.0,5.0,49.0,14.0,3.0,134.0,50.0,47.0
73,1095823.5100000154,1137678.7600000163,702678,36,212,4.098004987531056,69.0,9.0,11.0,9.0,6.0,11.0,17.0,17.0,11.0,16.0,17.0,16.0,4.0,22.0,51.0,47.0,73.0,64.0,3.0,60.0,3.0,98.0,5.0,49.0,14.0,3.0,136.0,49.0,50.0
74,1114956.860000014,1150467.260000016,789591,168,221,4.0842627013629516,73.0,9.0,12.0,9.0,7.0,11.0,16.0,18.0,13.0,14.0,16.0,16.0,4.0,21.0,52.0,50.0,72.0,65.0,3.0,61.0,3.0,98.0,5.0,50.0,16.0,3.0,137.0,51.0,51.0
75,1075517.1600000137,1158121.6500000162,970760,382,415,4.079489544895329,75.0,9.0,13.0,10.0,8.0,13.0,17.0,18.0,12.0,13.0,18.0,16.0,4.0,18.0,55.0,52.0,73.0,64.0,3.0,64.0,3.0,101.0,5.0,50.0,15.0,3.0,140.0,51.0,53.0
76,1054855.9000000125,1136449.8300000147,902928,311,444,4.095576323987416,72.0,9.0,14.0,10.0,8.0,14.0,19.0,16.0,11.0,11.0,18.0,14.0,5.0,18.0,51.0,53.0,72.0,63.0,3.0,62.0,3.0,98.0,5.0,49.0,16.0,3.0,137.0,50.0,52.0
77,1076469.9100000132,1128557.1300000139,833394,120,274,4.092411414236325,70.0,8.0,13.0,10.0,8.0,13.0,17.0,16.0,13.0,11.0,18.0,15.0,5.0,17.0,50.0,54.0,69.0,61.0,3.0,57.0,3.0,96.0,5.0,51.0,16.0,3.0,132.0,51.0,51.0
78,1084652.730000013,1133189.7900000114,862030,113,249,4.086837180286842,73.0,9.0,14.0,10.0,8.0,13.0,19.0,20.0,11.0,11.0,14.0,13.0,5.0,19.0,53.0,54.0,69.0,63.0,3.0,61.0,3.0,99.0,5.0,49.0,16.0,3.0,137.0,51.0,51.0
79,1041892.4200000119,1137084.8000000147,1004611,457,394,4.084039900249258,74.0,10.0,12.0,9.0,8.0,11.0,22.0,19.0,12.0,12.0,16.0,15.0,5.0,16.0,54.0,52.0,78.0,57.0,3.0,62.0,3.0,101.0,5.0,48.0,16.0,3.0,138.0,52.0,51.0
80,1101122.9900000142,1155457.0300000154,698063,84,193,4.086257668711532,73.0,7.0,14.0,8.0,8.0,11.0,21.0,20.0,13.0,12.0,16.0,15.0,7.0,18.0,54.0,50.0,78.0,61.0,3.0,65.0,3.0,97.0,5.0,51.0,16.0,3.0,137.0,53.0,53.0
81,1103047.0800000185,1137970.190000018,681412,110,203,4.096473158551691,72.0,5.0,14.0,9.0,8.0,13.0,23.0,20.0,10.0,11.0,15.0,13.0,7.0,15.0,52.0,46.0,77.0,60.0,3.0,66.0,3.0,93.0,5.0,47.0,15.0,3.0,136.0,50.0,49.0
82,1108364.0300000203,1158801.8900000206,859477,194,296,4.086676923076799,73.0,7.0,13.0,9.0,8.0,14.0,23.0,20.0,13.0,11.0,17.0,13.0,7.0,15.0,51.0,49.0,82.0,61.0,3.0,66.0,3.0,98.0,5.0,50.0,15.0,3.0,136.0,53.0,54.0
83,1107694.7600000228,1168203.610000021,900091,195,240,4.091842992946824,68.0,7.0,12.0,9.0,10.0,13.0,23.0,20.0,14.0,12.0,17.0,13.0,7.0,16.0,53.0,49.0,80.0,59.0,3.0,65.0,3.0,97.0,5.0,49.0,16.0,3.0,137.0,51.0,53.0
84,1056224.260000023,1139536.2800000203,768315,231,341,4.090253045923033,69.0,6.0,9.0,7.0,10.0,14.0,22.0,23.0,13.0,15.0,15.0,13.0,7.0,14.0,57.0,42.0,80.0,58.0,3.0,63.0,3.0,95.0,5.0,49.0,16.0,3.0,134.0,50.0,53.0
85,1031032.2600000246,1159833.4100000192,860433,584,455,4.093116164720218,68.0,7.0,11.0,9.0,10.0,12.0,24.0,21.0,12.0,15.0,13.0,16.0,7.0,17.0,59.0,42.0,81.0,60.0,3.0,65.0,3.0,99.0,4.0,49.0,16.0,3.0,137.0,52.0,53.0
86,1029158.6900000245,1151198.1600000183,823515,336,392,4.0855692307691065,67.0,6.0,12.0,9.0,12.0,13.0,23.0,20.0,11.0,14.0,14.0,14.0,7.0,15.0,59.0,41.0,77.0,60.0,3.0,64.0,3.0,94.0,5.0,48.0,17.0,3.0,137.0,50.0,50.0
87,1052060.20000002,1149794.5500000168,805140,184,381,4.079020332717067,67.0,7.0,9.0,9.0,12.0,14.0,24.0,22.0,12.0,16.0,16.0,14.0,6.0,14.0,64.0,40.0,81.0,57.0,3.0,65.0,3.0,97.0,5.0,50.0,16.0,3.0,137.0,52.0,53.0
88,1074794.3600000173,1162140.8900000167,745193,215,282,4.074961691694635,68.0,9.0,9.0,9.0,13.0,16.0,22.0,19.0,9.0,17.0,15.0,9.0,7.0,16.0,59.0,41.0,76.0,62.0,3.0,64.0,3.0,95.0,5.0,48.0,17.0,3.0,137.0,49.0,52.0
89,1077234.8500000143,1148227.7300000142,743489,292,305,4.087233384853048,64.0,11.0,10.0,9.0,14.0,19.0,20.0,20.0,9.0,17.0,17.0,9.0,7.0,14.0,61.0,42.0,76.0,61.0,2.0,65.0,3.0,97.0,5.0,49.0,16.0,3.0,135.0,54.0,51.0
90,1052656.4100000272,1179260.960000016,849868,446,406,4.078336380255815,68.0,9.0,9.0,7.0,15.0,20.0,21.0,22.0,9.0,15.0,17.0,8.0,8.0,11.0,66.0,41.0,74.0,58.0,3.0,64.0,3.0,97.0,5.0,49.0,15.0,3.0,139.0,52.0,48.0
